,athleteid,stroke,distance,final_swimtime,lastname,semi_swimtime
0,100537,FREE,100,52.52,CAMPBELL,53.0
1,100537,FREE,50,24.12,CAMPBELL,24.32
2,100631,FREE,100,52.82,CAMPBELL,52.84
3,100631,FREE,50,24.36,CAMPBELL,24.22
4,100650,FLY,100,57.67,MCKEON,57.59
5,100650,FREE,200,116.41,MCKEON,116.95
6,100715,BACK,100,58.26,SEEBOHM,58.56
7,100715,BACK,50,27.66,SEEBOHM,27.7
8,100715,BACK,200,125.81,SEEBOHM,126.56
9,105256,BACK,100,58.75,WILSON,59.05
10,105256,BACK,50,27.92,WILSON,27.83
11,110934,FLY,200,126.78,THROSSELL,127.57
12,102356,FLY,50,25.93,VANDERPOOL-WALLACE,25.81
13,102356,FREE,50,24.44,VANDERPOOL-WALLACE,24.38
14,101198,BACK,50,27.26,MEDEIROS,27.41
15,100611,FLY,100,58.22,THOMAS,58.05
16,100995,BACK,200,128.66,CALDWELL,128.99
17,101166,FREE,50,24.39,VAN LANDEGHEM,24.52
18,101207,FLY,100,57.69,SAVARD,57.52
19,108106,BREAST,200,143.61,SMITH,142.82
20,118557,BACK,200,128.51,BOUCHARD,128.16
21,102450,BREAST,50,30.74,SUO,31.03
22,102465,BACK,100,59.02,FU,59.33
23,102465,BACK,50,27.11,FU,27.18
24,102476,FLY,100,57.85,CHEN,57.63
25,102550,BREAST,100,66.55,SHI,66.28
26,102550,BREAST,200,142.76,SHI,143.06
27,102558,FLY,100,57.48,LU,57.36
28,102558,FLY,50,25.37,LU,25.79
29,103266,FREE,200,116.27,SHEN,116.44
30,103266,FREE,100,54.76,SHEN,53.91
31,110581,FLY,200,126.51,ZHANG,127.08
32,110589,BACK,50,27.58,LIU,27.67
33,112826,FLY,200,130.2,ZHOU,127.69
34,101645,BREAST,200,142.76,PEDERSEN,141.99
35,101868,FLY,100,57.05,OTTESEN,57.04
36,101868,FLY,50,25.34,OTTESEN,25.27
37,108729,BACK,100,58.86,NIELSEN,58.84
38,108729,BACK,50,27.73,NIELSEN,27.63
39,101910,FLY,50,25.78,OSMAN,25.88
40,102142,BREAST,200,142.76,VALL,142.9
41,101764,FLY,50,25.85,HALSALL,25.71
42,101764,FREE,50,24.51,HALSALL,24.5
43,102163,BACK,100,59.78,QUIGLEY,59.71
44,102163,BACK,50,27.99,QUIGLEY,27.88
45,101905,FLY,100,57.94,WENK,57.77
46,102095,FLY,200,126.78,HENTKE,126.64
47,110990,BACK,200,128.49,MENSING,129.16
48,101025,BACK,50,28.17,DRAKOU,28.01
49,102329,FREE,200,116.19,HOSSZU,116.51
50,102329,BACK,200,126.84,HOSSZU,126.18
51,108314,FLY,200,127.76,SZILAGYI,127.05
52,100794,BACK,200,129.53,GUSTAFSDOTTIR,129.04
53,100918,BREAST,100,67.1,LUTHERSDOTTIR,67.11
54,100918,BREAST,50,31.12,LUTHERSDOTTIR,30.9
55,102040,FREE,200,115.32,PELLEGRINI,116.23
56,110263,BREAST,100,67.6,CASTIGLIONI,66.95
57,102337,BREAST,100,66.42,ATKINSON,66.21
58,102337,BREAST,50,30.11,ATKINSON,30.78
59,100505,FLY,200,125.56,HOSHI,126.36
60,101213,BREAST,100,66.43,WATANABE,66.64
61,101213,BREAST,200,141.15,WATANABE,142.15
62,101306,BREAST,200,143.19,KANETO,142.88
63,102069,BREAST,100,66.36,MEILUTYTE,65.64
64,102069,BREAST,50,30.14,MEILUTYTE,29.98
65,101402,FREE,200,116.79,HEEMSKERK,116.91
66,101402,FREE,100,53.58,HEEMSKERK,53.38
67,101698,FREE,100,53.17,KROMOWIDJOJO,53.78
68,101698,FREE,50,24.22,KROMOWIDJOJO,24.23
69,101955,FLY,50,25.64,DEKKER,25.9
70,100508,FLY,50,26.2,DOWGIERT,25.91
71,102493,FREE,200,116.16,POPOVA,116.56
72,102727,BACK,200,127.64,USTINOVA,128.74
73,103131,BREAST,100,65.66,EFIMOVA,65.6
74,103131,BREAST,50,30.13,EFIMOVA,30.14
75,103235,BACK,100,59.66,FESIKOVA,59.55
76,111032,BREAST,200,143.59,SIMONOVA,142.72
77,100728,FLY,100,55.64,SJOSTROM,55.74
78,100728,FREE,100,52.7,SJOSTROM,52.78
79,100728,FLY,50,24.96,SJOSTROM,25.06
80,100728,FREE,50,24.31,SJOSTROM,24.31
81,100975,BREAST,100,67.17,JOHANSSON,66.76
82,100975,BREAST,50,30.05,JOHANSSON,30.39
83,102995,BREAST,50,31.14,LIVER,30.64
84,105575,FREE,100,53.93,MANUEL,53.81
85,105575,FREE,50,24.57,MANUEL,24.47
86,105587,BREAST,200,142.44,LAWRENCE,142.04
87,105594,FREE,200,115.16,LEDECKY,116.76
88,105595,BACK,100,59.4,FRANKLIN,59.42
89,105595,FREE,200,115.49,FRANKLIN,116.37
90,105595,FREE,100,54.0,FRANKLIN,53.92
91,105595,BACK,200,126.34,FRANKLIN,127.79
92,105607,BREAST,50,30.2,HARDY,30.25
93,105640,FLY,200,126.95,MCLAUGHLIN,127.52
94,105676,BACK,100,59.99,BAKER,59.63
95,105686,FLY,200,126.4,ADAMS,127.57
